holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02T09:00:00.000Z,5545
None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02T10:00:00.000Z,4516
None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02T11:00:00.000Z,4767
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02T12:00:00.000Z,5026
None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02T13:00:00.000Z,4918
None,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02T14:00:00.000Z,5181
None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02T15:00:00.000Z,5584
None,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02T16:00:00.000Z,6015
None,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02T17:00:00.000Z,5791
None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02T18:00:00.000Z,4770
None,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02T19:00:00.000Z,3539
None,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02T20:00:00.000Z,2784
None,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02T21:00:00.000Z,2361
None,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02T22:00:00.000Z,1529
None,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02T23:00:00.000Z,963
None,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03T00:00:00.000Z,506
None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03T01:00:00.000Z,321
None,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03T02:00:00.000Z,273
None,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03T03:00:00.000Z,367
None,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03T04:00:00.000Z,814
None,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03T05:00:00.000Z,2718
None,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03T06:00:00.000Z,5673
None,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03T08:00:00.000Z,6511
None,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03T09:00:00.000Z,5471
None,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03T12:00:00.000Z,5097
None,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03T13:00:00.000Z,4887
None,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03T14:00:00.000Z,5337
None,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03T15:00:00.000Z,5692
None,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03T16:00:00.000Z,6137
None,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03T18:00:00.000Z,4623
None,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03T19:00:00.000Z,3591
None,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03T20:00:00.000Z,2898
None,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03T21:00:00.000Z,2637
None,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03T22:00:00.000Z,1777
None,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03T23:00:00.000Z,1015
None,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04T00:00:00.000Z,598
None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04T01:00:00.000Z,369
None,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04T02:00:00.000Z,312
None,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04T03:00:00.000Z,367
None,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04T04:00:00.000Z,835
None,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04T05:00:00.000Z,2726
None,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04T06:00:00.000Z,5689
None,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04T07:00:00.000Z,6990
None,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04T08:00:00.000Z,5985
None,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04T09:00:00.000Z,5309
None,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04T10:00:00.000Z,4603
None,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04T11:00:00.000Z,4884
None,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04T12:00:00.000Z,5104
None,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04T13:00:00.000Z,5178
None,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04T14:00:00.000Z,5501
None,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04T15:00:00.000Z,5713
None,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04T16:00:00.000Z,6292
None,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04T17:00:00.000Z,6057
None,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04T18:00:00.000Z,4907
None,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04T19:00:00.000Z,3503
None,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04T20:00:00.000Z,3037
None,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04T21:00:00.000Z,2822
